"Country.Code","City","Location","Latitude","Longitude","Pollutant","Source.Name","Unit","Value","Last.Updated","Country.Label"
"FR","LES MAZURES","REVIN",49.9077799999888,4.63000000024383,"PM10","eea","µg/m³",5.5,"2024-09-16T23:00:00+02:00","France"
"FR","TROYES","Troyes La Tour",48.3016660002666,4.07694400024531,"SO2","eea","µg/m³",2.3,"2019-09-30T12:00:00+02:00","France"
"FR","TOULOUSE","Toulouse Berthelot",43.5873450000132,1.44400300032376,"NO","eea","µg/m³",1.3,"2024-03-11T10:00:00+01:00","France"
"FR","NEUILLY-SAINT-FRONT","Neuilly-Saint-Front",49.1749299998364,3.26081899955954,"O3","eea","µg/m³",54.3,"2024-09-16T23:00:00+02:00","France"
"FR","NEUILLY-SAINT-FRONT","Neuilly-Saint-Front",49.1749299998364,3.26081899955954,"PM10","eea","µg/m³",7.3,"2024-09-16T23:00:00+02:00","France"
"FR","REIMS","Jean d Aulan",49.2241669997297,4.02055599976787,"SO2","eea","µg/m³",1,"2024-09-16T14:00:00+02:00","France"
"FR","SAINT-OMER","St Omer Ribot",50.7482300002354,2.25977999995667,"NO","eea","µg/m³",2.1,"2024-03-11T10:00:00+01:00","France"
"FR","SAINT-DIZIER","St DIZIER L. Michel",48.6458359997777,4.96611099961485,"SO2","eea","µg/m³",5.1,"2019-09-20T10:00:00+02:00","France"
"FR","TOULOUSE","Toulouse Mazades",43.6236080001413,1.43853099990713,"O3","eea","µg/m³",60.4,"2021-05-17T05:00:00+02:00","France"
"FR","DUNKERQUE","St Pol mer - cheminots",51.0327599998369,2.33235799993157,"NO2","eea","µg/m³",1.5,"2024-09-16T23:00:00+02:00","France"
"FR","TOULOUSE","ECOLE M.JACQUIER",43.5756949998691,1.41806400006942,"PM2.5","eea","µg/m³",5.4,"2024-09-16T23:00:00+02:00","France"
"FR","LE MANS","SOURCES",47.9710660000466,0.221422000085985,"NO2","eea","µg/m³",4.5,"2024-09-16T23:00:00+02:00","France"
"FR","SAINT-DENIS-D'ANJOU","SAINT-DENIS D'ANJOU",47.7877299999136,-0.444044000271216,"NO","eea","µg/m³",3.4,"2024-03-11T07:00:00+01:00","France"
"FR","CALAIS","Calais Berthelot",50.9472900000261,1.84308000007845,"NO2","eea","µg/m³",13.3,"2024-09-16T23:00:00+02:00","France"
"FR","CAPPELLE-LA-GRANDE","Cappelle la Grande",50.9959400001875,2.36627000018506,"O3","eea","µg/m³",69.6,"2024-09-16T23:00:00+02:00","France"
"FR","BÉLESTA-EN-LAURAGAIS","BELESTA EN LAURAGAIS",43.4413900001802,1.82194399969583,"O3","eea","µg/m³",63.1,"2024-09-16T23:00:00+02:00","France"
"FR","LA TARDIÈRE","LA TARDIERE",46.6566850000422,-0.743680999706857,"O3","eea","µg/m³",75.6,"2024-09-16T23:00:00+02:00","France"
"FR","CLERMONT-FERRAND","Beaulieu",45.7690000000847,3.1550000004242,"PM10","eea","µg/m³",6.5,"2024-09-16T08:00:00+02:00","France"
"FR","MONTLUÇON","Montluçon",46.3407199997582,2.59394499958895,"O3","eea","µg/m³",78,"2024-09-16T14:00:00+02:00","France"
"FR","LE HAVRE","Le Havre Massillon",49.4983000002172,0.142706000420907,"NO2","eea","µg/m³",4.3,"2024-09-16T14:00:00+02:00","France"
"FR","PARAY-LE-FRÉSIL","Paray le Fresil",46.6526679998459,3.60066700039397,"PM2.5","eea","µg/m³",4.5,"2024-09-16T14:00:00+02:00","France"
"FR","LE HAVRE","Le Havre ville-haute",49.5146869998804,0.100645000441171,"SO2","eea","µg/m³",0.5,"2024-09-16T14:00:00+02:00","France"
